Menu_id,Date,Assortment,Receipe,Retail_Item,Retail_Price,Article,MenuPlan
M-4164,2025-05-20,Vegan,Veggie Burger,Chicken Breast,10.6,BF-003,Standard
M-3889,2025-05-20,Seafood,Grilled Chicken,Tofu Block,10.16,BB-004,Economy
M-3818,2025-05-20,Vegan,Tofu Stir Fry,Ground Beef,9.35,BB-004,Economy
M-4570,2025-05-20,Seafood,Veggie Burger,Quinoa Pack,12.69,QP-005,Premium
M-6810,2025-05-20,Vegetarian,Grilled Chicken,Tofu Block,9.3,QP-005,Standard
M-8968,2025-05-20,Meat,Veggie Burger,Chicken Breast,6.12,BB-004,Economy
M-6751,2025-05-20,Seafood,Quinoa Salad,Quinoa Pack,6.91,QP-005,Premium
M-6754,2025-05-20,Gluten-Free,Quinoa Salad,Quinoa Pack,5.11,QP-005,Express
M-5743,2025-05-20,Seafood,Veggie Burger,Quinoa Pack,7.5,QP-005,Deluxe
M-4720,2025-05-20,Vegetarian,Tofu Stir Fry,Tofu Block,6.55,QP-005,Standard
M-2565,2025-05-20,Seafood,Grilled Chicken,Quinoa Pack,7.58,TF-002,Premium
M-9009,2025-05-20,Vegetarian,Veggie Burger,Tofu Block,5.87,BF-003,Standard
M-3086,2025-05-20,Meat,Quinoa Salad,Chicken Breast,5.52,CH-001,Express
M-5348,2025-05-20,Vegetarian,Tofu Stir Fry,Ground Beef,13.01,BF-003,Express
M-2710,2025-05-20,Vegan,Beef Lasagna,Quinoa Pack,13.09,TF-002,Standard
M-5959,2025-05-20,Vegetarian,Tofu Stir Fry,Burger Bun,9.13,BF-003,Deluxe
M-1127,2025-05-20,Gluten-Free,Beef Lasagna,Burger Bun,14.6,BF-003,Express
M-9791,2025-05-20,Seafood,Grilled Chicken,Quinoa Pack,12.52,TF-002,Express
M-4928,2025-05-20,Seafood,Grilled Chicken,Tofu Block,14.69,CH-001,Deluxe
M-7522,2025-05-20,Seafood,Quinoa Salad,Burger Bun,10.64,CH-001,Express
M-1520,2025-05-20,Vegetarian,Grilled Chicken,Tofu Block,12.18,CH-001,Express
M-9759,2025-05-20,Meat,Veggie Burger,Quinoa Pack,12.14,BF-003,Deluxe
M-8547,2025-05-20,Seafood,Quinoa Salad,Tofu Block,8.96,TF-002,Standard
M-5448,2025-05-20,Gluten-Free,Quinoa Salad,Ground Beef,5.25,BB-004,Express
M-8234,2025-05-20,Meat,Quinoa Salad,Quinoa Pack,14.38,CH-001,Standard
M-7723,2025-05-20,Vegan,Quinoa Salad,Tofu Block,12.87,BF-003,Standard
M-5459,2025-05-20,Seafood,Grilled Chicken,Burger Bun,5.51,CH-001,Standard
M-8926,2025-05-20,Vegetarian,Veggie Burger,Chicken Breast,11.92,TF-002,Express
M-6560,2025-05-20,Meat,Veggie Burger,Chicken Breast,11.49,BB-004,Premium
M-5230,2025-05-20,Gluten-Free,Beef Lasagna,Ground Beef,7.63,BB-004,Standard
M-2768,2025-05-20,Meat,Quinoa Salad,Chicken Breast,14.37,BF-003,Deluxe
M-3457,2025-05-20,Meat,Beef Lasagna,Chicken Breast,13.83,CH-001,Economy
M-7924,2025-05-20,Meat,Quinoa Salad,Quinoa Pack,14.83,TF-002,Premium
M-5370,2025-05-20,Vegetarian,Tofu Stir Fry,Tofu Block,8.29,BF-003,Premium
M-7271,2025-05-20,Seafood,Veggie Burger,Tofu Block,12.97,TF-002,Premium
M-7522,2025-05-20,Vegan,Veggie Burger,Burger Bun,10.51,BF-003,Premium
M-9973,2025-05-20,Meat,Tofu Stir Fry,Quinoa Pack,14.86,TF-002,Express
M-1359,2025-05-20,Vegan,Grilled Chicken,Quinoa Pack,11.08,CH-001,Premium
M-1839,2025-05-20,Gluten-Free,Veggie Burger,Chicken Breast,12.05,TF-002,Deluxe
M-8770,2025-05-20,Vegetarian,Veggie Burger,Tofu Block,6.81,QP-005,Standard
M-7952,2025-05-20,Meat,Grilled Chicken,Tofu Block,14.82,TF-002,Premium
M-8627,2025-05-20,Vegan,Beef Lasagna,Tofu Block,7.54,QP-005,Standard
M-2904,2025-05-20,Gluten-Free,Beef Lasagna,Burger Bun,10.84,QP-005,Deluxe
M-3299,2025-05-20,Gluten-Free,Beef Lasagna,Tofu Block,7.64,QP-005,Premium
M-4285,2025-05-20,Seafood,Quinoa Salad,Ground Beef,8.12,BF-003,Express
M-7546,2025-05-20,Meat,Beef Lasagna,Chicken Breast,13.56,CH-001,Express
M-9060,2025-05-20,Vegetarian,Quinoa Salad,Chicken Breast,6.88,TF-002,Express
M-6810,2025-05-20,Seafood,Tofu Stir Fry,Chicken Breast,14.25,CH-001,Deluxe
M-8852,2025-05-20,Vegetarian,Veggie Burger,Tofu Block,11.58,CH-001,Express
M-5115,2025-05-20,Vegetarian,Grilled Chicken,Ground Beef,7.9,BB-004,Standard
